Column Title,Mean,Standard Deviation
Num Aliphatic Carbocycles,0.052083333333333336,0.22336148028967082
Num Heteroatoms,12.03125,3.737303066453979
Num Hydrogen Bond Acceptor,8.375,3.179705381916613
Num Aromatic Carbocycles,0.5208333333333334,0.5978763587489282
LogP,0.12034375000000001,1.3148583179877513
Num Rotatable Bonds,6.291666666666667,2.223873655378767
Num Aromatic Heterocycles,0.7291666666666666,0.7877906035792248
Num Lipinski HB Donor,3.375,1.5235001252310245
Num Atoms,29.854166666666668,6.319525576241617
Num Lipinski HB Acceptor,10.229166666666666,3.120321058604696
Num Rings,3.5,0.8078561622884166
Num Hydrogen bond Donor,2.8645833333333335,1.184281186975695
Num Aliphatic Rings,2.25,0.5803810000880093
Num Aliphatic Heterocycles,2.1979166666666665,0.5547838207079386
Num Heterocycles,2.9270833333333335,0.8973034652624104
Mol Wt,446.17179166666665,96.95017431204076
Labute ASA,177.50973958333336,37.30457086661091
Num Aromatic Rings,1.25,0.7108186533109109
Topological Polar SA,147.09375,44.33522781930272
