Column Title,Mean,Standard Deviation
Num Aliphatic Carbocycles,0.037037037037037035,0.1892912571072064
Num Heteroatoms,10.319444444444445,3.6707253787503022
Num Hydrogen Bond Acceptor,8.819444444444445,2.729646312665445
Num Aromatic Carbocycles,1.375,0.6420352812155897
LogP,3.0402314814814813,1.395317312291742
Num Rotatable Bonds,5.763888888888889,4.563229340664775
Num Aromatic Heterocycles,2.189814814814815,0.6654866818250212
Num Lipinski HB Donor,1.9166666666666667,1.2768056070285463
Num Atoms,39.18055555555556,11.436367599721907
Num Lipinski HB Acceptor,9.555555555555555,3.37386213951224
Num Rings,5.953703703703703,1.3767792497339022
Num Hydrogen bond Donor,1.8240740740740742,1.08972967591992
Num Aliphatic Rings,2.388888888888889,0.7992244302587856
Num Aliphatic Heterocycles,2.3518518518518516,0.7753746559050085
Num Heterocycles,4.541666666666667,1.1526006993287063
Mol Wt,544.1431249999999,164.61218253684157
Labute ASA,227.4709212962963,66.99123369702629
Num Aromatic Rings,3.564814814814815,0.9719139415261975
Topological Polar SA,123.39439814814814,43.20775336978302
